platform,kategori_utama,sub_kategori,judul_listing,harga,durasi_hari,jumlah_bid,skills,url_listing,budget_raw,accepted_budget_raw,durasi_raw,deskripsi,tipe
projects.co.id,Web dan Pemrograman,Website Development,Pembuatan Simple Website,650000,7,49.0,"Web Research, Web Programming, Website, Web Design, Website Building, Website Templates, Laravel Framework, Web Scrapping",https://projects.co.id/public/browse_projects/view/49391d/pembuatan-simple-website,"Rp 300,000 - 1,000,000",,7 hari,Pekerjaan      Pembuatan Simple Website (Script sudah di sediakan bukan coding atau mulai dari 0)  Integrasi : Payment Gateway + Notifikasi Email & Whatsapp       Catatan     Contoh tampilan script template html sudah ada tinggal di slicing ke laravel & php versi terbaru + integrasi sistem         Wajib      Website aman dan optimal : Tidak ada error / bug  Support (Bertanggung jawab)       Silahk,active
projects.co.id,Web dan Pemrograman,Website Development,Bikin excel buat nota ada tanggal dan no urut,125000,2,17.0,Microsoft Excel,https://projects.co.id/public/browse_projects/view/b5391d/bikin-excel-buat-nota-ada-tanggal-dan-no-urut,"Rp 100,001 - 150,000",,2 hari,halo semua freelancer saya ada project buat bikin excel sederhana untuk nota toko syarat nya harus bisa otomatis ada tanggal hari itu  tapi tidak perlu jam hanya tanggal dan juga no urut 4 digit misal 0001 awal nya ukurannya A4 di bagi 2 yg atas tidak perlu ada tulisan copy yg bawah nya baru ada tulisan copy maksudnya itu copy an yg atas nya Microsoft Excel,active
projects.co.id,Web dan Pemrograman,Website Development,"[WP] Develop Web Komunitas, Events & Membership",1150000,7,9.0,"Wordpress, Website Building, Website Templates, Wordpress Templates, CSS",https://projects.co.id/public/browse_projects/view/b2391d/wp-develop-web-komunitas-events-amp-membership,"Rp 800,000 - 1,500,000",,7 hari,"Kami perlu dibantu slicing dari desain di figma, didevelop ke wp.  Base WP sudah disiapkan. Tinggal didevelop & setup plugin-plugin yg dibutuhkan. Juga disetup untuk interaction & transisinya agar sesuai desain.  Page statis ada beberapa, lebih banyak pekerjaan di setup & styling page-page untuk event & member. Sudah diinstal plugin Elementor, The Events Calendar free & Ultimate Member free. Tema ",active
projects.co.id,Web dan Pemrograman,Website Development,Pengajaran Membuat Video Konten Menggunakan AI,325000,7,28.0,"Social Media Marketing (SMM), Video Editing, Video Production, Video Animation, Social Media",https://projects.co.id/public/browse_projects/view/ff371d/pengajaran-membuat-video-konten-menggunakan-ai,"Rp 150,000 - 500,000",,7 hari,Pekerjaan     Pengajaran Membuat Video Konten Menggunakan AI  (Boleh By : Ebook/Video/Zoom)   Boleh menggunakan AI Berbayar atau FREE  (Direkomendasikan Free)   Boleh disediakan promptnya agar hasil lebih maksimal dan free konsultasi      Silahkan kirimkan sample video yg telah jadi  (Jika ada hasil karya video FYP = Nilai Plus)      Pekerjaan dinyatakan selesai jika : Saya sudah berhasil diajarka,active
projects.co.id,Web dan Pemrograman,Website Development,Tambahkan halaman produk Indonesia untuk situs web Shopify,650000,7,11.0,"Website, Web Design, Website Building",https://projects.co.id/public/browse_projects/view/af391d/tambahkan-halaman-produk-indonesia-untuk-situs-web-shopify,"Rp 500,000 - 800,000",,7 hari,"Tambahkan halaman produk Indonesia untuk situs web Shopify Anda, termasuk penargetan ulang Harga dalam Rupiah. WebsiteWeb DesignWebsite Building",active
projects.co.id,Web dan Pemrograman,Website Development,DIBELI akun Google developer Console (GODEV) Tahun 2023 kebawah.,10500000,7,1.0,"Accounting, 3D Animation, 3D Architecture, 3D Modelling, 3ds Max, .NET/Mono, 3D Rendering, 3D Render Artlantis, 3D Printing, AAA Logo",https://projects.co.id/public/browse_projects/view/6b381d/dibeli-akun-google-developer-console-godev-tahun-2023-kebawah,"Rp 3,000,000 - 18,000,000",,7 hari,Dicari Akun Google Play Console Developer GODEV Bekas yang sudah tidak terurus berisi app aktif maupun tidak aktif.      Kebutuhan 1xx Account Google Developer  Max tahun November 2023 ( makin tua makin baik )    Berisi app minimal 1 yang live   Jika ada suspend app masih bisa ditawarkan(harga tidak bisa tinggi)  Tidak ada history Transfer APP(Jika ada boleh di tawarkan tetapi harga tidak bisa tin,active
projects.co.id,Web dan Pemrograman,Website Development,? Saya Membutuhkan Akun Playconsole - Google developer/Godev Tahun 2023 -2023 kebawah?,14000000,7,9.0,"Programming, Mobile Programming, Web Programming, Drupal, Wordpress, Java Native, Android studio, Flutter",https://projects.co.id/public/browse_projects/view/40281d/g-saya-membutuhkan-akun-playconsole-google-developergodev-tahun-2023-2023-kebawahg,"Rp 10,000,000 - 18,000,000",,7 hari,"saya Mencari akun Google Play Console atau Godev , keadaan aktif atau closed krn tidak aktif  umur akun tahun 2023 atau dibawah 2023, akun siap untuk dijual beserta gmail utamanya  penjual wajib mengikuti persyaratan jual beli     Transaksi dilakukan full di Projects.co.id    transaksi selesai 7 hari setelah pergantian email, dan telp pemulihan dan password   yang di jual adalah akun email yang se",active
projects.co.id,Web dan Pemrograman,Website Development,Input produk ke marketplace tokopedia,250000,7,55.0,"Data Entry, Adobe PhotoShop",https://projects.co.id/public/browse_projects/view/9a391d/input-produk-ke-marketplace-tokopedia,"Rp 200,000 - 300,000",,7 hari,Saya membutuhkan jasa input produk ke tokopedia  Foto dan video produk mentahan saya sediakan  Pekerjaannya:  1. Ambil foto dari saya lalu taruh watermark toko saya pake image editor lalu upload ke tokopedia  2. Buat deskripsi sesuai arahan saya kebanyakan copy paste aja hanya ganti spesifikasi aja  Yang bisa image editor dan ngerti marketplace tokopedia..Bisa tinggalin WA dan portfolio Data Entry,active
projects.co.id,Web dan Pemrograman,Website Development,Membuat draft QCPC & PROCESS FMEA simpel,600000,30,14.0,Data Entry,https://projects.co.id/public/browse_projects/view/91391d/membuat-draft-qcpc-amp-process-fmea-simpel,"Rp 500,000 - 700,000",,30 hari,"Cari orang yang bisa bikinkan draft QCPC & Process FMEA. Template formulir dari saya, master data dari saya. Anda tinggal inputkan data² dari master data ke template formulir. Total item sekitar 700 item. Data Entry",active
projects.co.id,Web dan Pemrograman,Website Development,"WTB/Dibeli akun adsense 2015 - 2020 minimal PO 10x sepaket blog, tidak kena paid + proxy.",35000000,120,4.0,Google Adsense,https://projects.co.id/public/browse_projects/view/13361d/wtbdibeli-akun-adsense-2015-2020-minimal-po-10x-sepaket-blog-tidak-kena-paid-proxy,"Rp 15,000,000 - 55,000,000",,120 hari,"WTB/Dibeli  akun adsense 2015 - 2020 minimal PO 10x  sepaket blog, tidak kena paid + proxy.  NEED 5-10 akun adsense,  syukur² akun support CSE , budget ready cukup untuk beberapa akun.   PM detail & harganya. Terimakasih! Google Adsense",active
