rating,log_harga,log_order,log_durasi,is_new_seller,platform_fastwork,platform_projects.co.id,platform_sribu,kategori_utama_Grafis & Desain,kategori_utama_Lainnya,kategori_utama_Past Project,kategori_utama_Pemasaran & Periklanan,kategori_utama_Penulisan & Penerjemahan,kategori_utama_Visual & Audio,kategori_utama_Web dan Pemrograman,sub_kategori_AI Automation,sub_kategori_Accounting,sub_kategori_All,sub_kategori_Audio Video Photo,sub_kategori_Chatbot,sub_kategori_Content Creator,sub_kategori_Data Analysis,sub_kategori_Data Entry & Mining,sub_kategori_Data Science,sub_kategori_Digital Marketing,sub_kategori_Entri Data,sub_kategori_Game Programming,sub_kategori_Infografis,sub_kategori_Internet Marketing,sub_kategori_Layout Logo Graphic,sub_kategori_Logo Design,sub_kategori_Machine Learning,sub_kategori_Mobile Application,sub_kategori_Motion Graphics,sub_kategori_Others,sub_kategori_Penerjemahan,sub_kategori_Penulisan Konten,sub_kategori_Presentasi,sub_kategori_SEO,sub_kategori_Social Media Mgmt,sub_kategori_UI & UX Design,sub_kategori_Video Editing,sub_kategori_Web Design,sub_kategori_Web Development,level_baru,level_junior,level_menengah,level_senior,skill_python,skill_adobe_illustrator,skill_adobe_premiere,skill_copywriting,skill_seo,skill_terjemahan,skill_bahasa_inggris,skill_bahasa_indonesia,skill_video_editing,skill_canva,skill_coreldraw,skill_branding,skill_davinci_resolve,skill_figma,skill_machine_learning,skill_social_media,skill_google_ads,skill_meta_ads,skill_web_development,skill_digital_marketing,skill_data_entry,skill_microsoft_excel,skill_google_sheets,skill_data_science,skill_after_effects,skill_motion_graphics,skill_data_analysis,skill_infografis,skill_flutter,skill_content_strategy
4.9,14.914123179965662,5.472270673671475,1.9459101490553132,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.9,14.731801689838349,6.486160788944089,1.3862943611198906,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.9,14.151983508870947,4.110873864173311,1.791759469228055,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8,14.220976332738882,4.442651256490317,1.0986122886681098,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0,14.508658238524095,1.0986122886681098,2.0794415416798357,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.9,14.151983508870947,3.367295829986474,2.0794415416798357,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,15.894952224644102,0.0,3.4339872044851463,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0,14.731801689838349,1.3862943611198906,2.70805020110221,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0,14.151983508870947,2.70805020110221,2.0794415416798357,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0,14.151983508870947,3.258096538021482,1.0986122886681098,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
