platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website & Aplikasi Custom Profesional Modern (React JS, Next JS, AI, Web3)",3000000.0,4.9,237.0,6.0,React,https://fastwork.id/user/reynaldokwok/web-development-94807060?badges=specialist%2Cmilestone%2Crehire&page=1&position=1&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Website Company Profile, eCommerce, LMS, Sosmed & Custom Website dengan Professional Web Design",2500000.0,4.9,655.0,3.0,,https://fastwork.id/user/maseyo/web-development-81104371?badges=milestone&page=1&position=2&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website Custom Professional ( React, Next js, Laravel, Wordpress )",1400000.0,4.9,60.0,5.0,"React, Laravel, WordPress",https://fastwork.id/user/imamrifai/web-development-84613121?badges=milestone%2Crehire&page=1&position=3&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Buat Sistem / Aplikasi Berbasis Web Untuk Segala Keperluan,1500000.0,4.8,84.0,2.0,,https://fastwork.id/user/arwebhouse/web-development-28860769?badges=milestone&page=1&position=4&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Profesional: Company Profile, Bisnis, Personal, atau Toko Online",2000000.0,5.0,2.0,7.0,,https://fastwork.id/user/adityawiryaa/web-development-62266806?badges=milestone&page=1&position=5&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,JASA PENGEMBANGAN APLIKASI & WEB,1400000.0,4.9,28.0,7.0,,https://fastwork.id/user/iwanna/web-development-79553000?badges=milestone%2Crehire&page=1&position=6&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Sistem Pesan Antar Online plus Kurir seperti Grabfood Gofood Shopee Food,8000000.0,,,30.0,,https://fastwork.id/user/hubwork/web-development-99401477?badges=&page=1&position=7&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Profesional Web Development & Website identity (Corporate & Brand),2500000.0,5.0,3.0,14.0,,https://fastwork.id/user/vinicloudstudio/web-development-63648993?badges=&page=1&position=8&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Membangun Dashboard Dengan Looker Studio (Google Data Studio),1400000.0,5.0,14.0,7.0,,https://fastwork.id/user/dardadnanp/web-development-70014900?badges=&page=1&position=9&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Website Company Profile, Landing page, e-Commerce, Custom Website dengan professional web design",1400000.0,5.0,25.0,2.0,,https://fastwork.id/user/kopsus/web-development-91361043?badges=milestone&page=1&position=10&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Berkualitas 3 Hari Jadi!,1400000.0,5.0,1.0,3.0,,https://fastwork.id/user/praasetyo./web-development-55814762?badges=&page=1&position=11&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Slicing & Convert Design Figma | PSD | XD ke Wordpress dengan Elementor Pro,1400000.0,4.8,10.0,2.0,"WordPress, Figma",https://fastwork.id/user/ansorifaiz/web-development-58412323?badges=milestone&page=1&position=12&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website Landing Page, Company Profile, Toko Online, Kursus Online, DLL | Terima Jadi!",1400000.0,4.9,104.0,3.0,,https://fastwork.id/user/patryck/web-development-72067127?badges=milestone&page=1&position=13&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Urus Web Periodik 1 Bulan (30 Hari),1400000.0,4.9,6.0,30.0,,https://fastwork.id/user/masrum/web-development-26986763?badges=&page=1&position=14&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Custom Web Aplikasi, Sistem Informasi, Inventory. E-rapor, Erp, Absensi, Dashboard, dll",500000.0,4.9,54.0,4.0,,https://fastwork.id/user/fnmdevelop/web-development-85944921?badges=milestone%2Crehire&page=1&position=15&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Fullstack Web Developer: Buat Sistem Informasi & Website Custom (Laravel, Tailwind, MySQL)",1400000.0,5.0,3.0,3.0,"Laravel, MySQL",https://fastwork.id/user/arisandy.dev/web-development-96741146?badges=milestone&page=1&position=16&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website WordPress Profesional, Responsif & SEO Friendly",1400000.0,,,3.0,"WordPress, SEO",https://fastwork.id/user/heriady/web-development-68017095?badges=&page=1&position=17&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Toko Online Murah, Fitur Komplit",1999000.0,,1.0,10.0,,https://fastwork.id/user/aripid/web-development-88325233?badges=milestone&page=1&position=18&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,105 Backlink Blog EDU Trafik Tinggi + 500 Backlink Lainnya,1000000.0,5.0,1.0,,,https://fastwork.id/user/spotlightseo/web-development-31612033?badges=&page=1&position=19&source=browse&subcategorySlug=web-development
