platform,kategori_utama,sub_kategori,judul_listing,harga,durasi_hari,jumlah_bid,skills,url_listing,budget_raw,accepted_budget_raw,durasi_raw,deskripsi,tipe
projects.co.id,Web dan Pemrograman,Data Entry & Mining,[WTB] Website Traffic Indo - Umur 3 Bln+ - Budget Mulai 500rb (Adsense Banned OK),1250000,7,1.0,"Website, Website Building",https://projects.co.id/public/browse_projects/view/3c3a1d/wtb-website-traffic-indo-umur-3-bln-budget-mulai-500rb-adsense-banned-ok,"Rp 500,000 - 2,000,000",,7 hari,"Lagi cari website yang sudah jalan tapi mau dipindah-tangankan. Syarat simpel:  ✅ Traffic Indo (Wajib lampirkan GSC).  ✅ Umur 3 bulan ke atas.  ✅ Backlink Clean (Bukan bekas web aneh-aneh).  ✅ Adsense Banned? Gak Masalah. Gak perlu akun Adsense.  Harga: Start dari 500rb IDR -2jt (Nego tergantung kualitas & stats).  Punya stok yang gak terurus tapi traffic ada? Daripada expired, mending jadi cash. ",
projects.co.id,Web dan Pemrograman,Data Entry & Mining,UI/UX Upgrade & UX Audit untuk Portal Berita Olahraga speak bola,1500000,21,25.0,"UI Design, UX Design",https://projects.co.id/public/browse_projects/view/eb391d/uiux-upgrade-amp-ux-audit-untuk-portal-berita-olahraga-speak-bola,"Rp 1,000,000 - 2,000,000",,21 hari,"Halo! Saya butuh UI/UX Designer untuk melakukan  upgrade  tampilan website   sbh.co.id  . Target utamanya adalah membuat website terlihat lebih profesional, modern, dan enak dibaca.  ​ Scope:   
 ​Analisis singkat kekurangan UI/UX yang sekarang. 
 ​Desain ulang Homepage & Artikel Page (Desktop & Mobile). 
 ​Fokus pada  user retention  dan navigasi yang simpel. 
  ​ Requirement:   



  
 ​Mahir me",
projects.co.id,Web dan Pemrograman,Data Entry & Mining,api wrapper D A N A - e wallet,6000000,5,14.0,"Android, PHP",https://projects.co.id/public/browse_projects/view/033a1d/api-wrapper-d-a-n-a-e-wallet,"Rp 2,000,000 - 10,000,000",,5 hari,"Halo, saya membutuhkan API Unofficial DANA dengan fitur utama transfer  dan mutasi, untuk programming bebas bisa pakai bahasa apapun, prefer PHP atau NodeJS.  terimakasih. AndroidPHP",
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Redesign website kalkulator,375000,14,41.0,"Logo Design, Web Design, UI Design",https://projects.co.id/public/browse_projects/view/d0391d/redesign-website-kalkulator,"Rp 250,000 - 500,000",,14 hari,"Kami sedang mencari  UI/UX Designer (Project-Based)  berbakat untuk melakukan desain ulang (redesign) pada platform   kalkulatorstunting.net  .  ​Stunting adalah isu serius, dan kami percaya alat bantu yang tepat dapat membuat perbedaan besar. Kami ingin mengubah kalkulator ini menjadi platform yang tidak hanya akurat secara medis, tetapi juga sangat mudah digunakan oleh para orang tua dan tenaga ",
projects.co.id,Web dan Pemrograman,Data Entry & Mining,DICARI JASA SETTING ATN 910-C,325000,7,3.0,.NET Compact Framework,https://projects.co.id/public/browse_projects/view/c7391d/dicari-jasa-setting-atn-910-c,"Rp 150,000 - 500,000",,7 hari,Dicari yang pernah setting atn 910-c untuk switch dikonek an ke mikrotik .NET Compact Framework,
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Pembuatan website pakai wordpress,3250000,14,122.0,"Wordpress, Wordpress Templates",https://projects.co.id/public/browse_projects/view/17381d/pembuatan-website-pakai-wordpress,"Rp 1,500,000 - 5,000,000",,14 hari,Scope : redesign website pkc.co.id  Platform : wordpress.  Style : look and feel mengikuti compro  Menu : sesuai compro.  Target : 2 minggu  Proposa dan penawaran harga dikirimkan. WordpressWordpress Templates,
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Reverse engineering,3500000,7,7.0,"Unreal Engine, Bridge Engineering Structure",https://projects.co.id/public/browse_projects/view/04391d/reverse-engineering,"Rp 2,000,000 - 5,000,000",,7 hari,di cari yang bisa reverse engineering untuk membuat bot game     diutamakan jogja agar komunikasi lancar Unreal EngineBridge Engineering Structure,
projects.co.id,Web dan Pemrograman,Data Entry & Mining,Online Order Form Integrasi Dengan Whatsapp,2250000,7,79.0,Order Processing,https://projects.co.id/public/browse_projects/view/bf381d/online-order-form-integrasi-dengan-whatsapp,"Rp 1,500,000 - 3,000,000",,7 hari,"Kami sedang mencari  jasa pembuatan online order form  dengan kebutuhan sebagai berikut:  
 
Formulir harus dapat  terintegrasi langsung dengan WhatsApp  (misalnya hasil input otomatis terkirim ke nomor/admin WhatsApp).
 
 
Desain dan struktur form perlu  mengikuti format formulir order fisik yang sudah ada  (custom, bukan template standar).
 
 
Mendukung field yang cukup kompleks (opsi produk, ku",
projects.co.id,Web dan Pemrograman,Data Entry & Mining,[Relist] Membuat Website Spesifikasi Ponsel,2250000,30,124.0,"JavaScript, PHP, Web Design, Web Scrapping",https://projects.co.id/public/browse_projects/view/242f1d/relist-membuat-website-spesifikasi-ponsel,"Rp 1,500,000 - 3,000,000",,30 hari,"Hi Freelancer,  Kali ini saya perlu bantuan anda untuk pembuatan web spesifikasi ponsel.  Referensi: https://www.gsmarena.com/  Tidak perlu fitur blog. Ada page untuk term and use, privacy, contact us Ada banner image/code adsense untuk iklan, sehingga perlu space di webnya Ada popup cookie policy, biasa adsense mensyaratkan itu.   Tech stack  Leaf MVC,  https://leafphp.dev/docs/mvc/ . G populer, ",
projects.co.id,Web dan Pemrograman,Data Entry & Mining,perbaikan eror login web laravel,200000,7,99.0,"Web Research, Web Programming, Website, Web Design, Website Building, Website Templates, Web Scrapping",https://projects.co.id/public/browse_projects/view/a4381d/perbaikan-eror-login-web-laravel,"Rp 100,001 - 300,000",,7 hari,saya perlu di bantu perbaikan minor login registrasi web laravel Web ResearchWeb ProgrammingWebsiteWeb DesignWebsite BuildingWebsite TemplatesWeb Scrapping,
