platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,url_listing,harga_raw,rating_raw,jumlah_order_raw
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Wordpress Murah dan Clean,,,,https://www.sribu.com/id/users/emreadone/pembuatan-website-wordpress-murah-dan-clean-e8366690-2f82-4bc5-9d09-73c1d0dac810,,,
sribu,Web dan Pemrograman,Web Development,"Pembuatan Website Custom - Laravel, Vue, React",,,,https://www.sribu.com/id/users/shafygunawan/pembuatan-website-custom-laravel-vue-react-fe4cdf30-c884-4407-bce3-68634bcee007,,,
sribu,Web dan Pemrograman,Web Development,Website Profesional untuk Semua Kebutuhan Bisnis,,,,https://www.sribu.com/id/users/rendy2504/website-profesional-untuk-semua-kebutuhan-bisnis-6ac6dc24-a439-4609-a3ac-c1dedd4bf6ce,,,
sribu,Web dan Pemrograman,Web Development,Landing Page Premium Murah,,,,https://www.sribu.com/id/users/limamultimed/landing-page-premium-murah-fa6fde20-402c-4c02-a53f-40b15d8ae091,,,
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Landing Page,,,,https://www.sribu.com/id/users/emreadone/pembuatan-website-landing-page-3f4a4baa-32ed-4758-8781-68f7e9d705e6,,,
sribu,Web dan Pemrograman,Web Development,"Landing page perusahaan, bisnis, UMKM profesional",,,,https://www.sribu.com/id/users/dwiajicahyono/landing-page-perusahaan-bisnis-umkm-profesional-410b2c54-3ebb-4add-8ef4-48104fa62b2b,,,
sribu,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website, Landing Page & Toko Online",,,,https://www.sribu.com/id/users/virstox92/jasa-pembuatan-website-landing-page-and-toko-online-4430a955-42de-46cf-8a90-0d456e872ea0,,,
sribu,Web dan Pemrograman,Web Development,Web Design & Development,,,,https://www.sribu.com/id/users/krisanputih/web-design-and-development-7244b7fb-6d3b-4f20-a6ab-d6ffb0a45cbe,,,
sribu,Web dan Pemrograman,Web Development,Web Development (Full Stack Developer),,,,https://www.sribu.com/id/users/xrilozs7/web-development-full-stack-developer-f5153887-1354-454b-b80b-eca9e1d5a13e,,,
sribu,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Company Profile (7 Hari), Toko Online (10 Hari), Landing Page (1 Hari)",,,,https://www.sribu.com/id/users/megaimamb/jasa-pembuatan-website-company-profile-7-hari-toko-online-10-hari-landing-page-1-hari-09577c78-742e-4b81-b2c9-b210c5c6588b,,,
