platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing,harga_raw,rating_raw,jumlah_order_raw,durasi_raw
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Wordpress Murah dan Clean,99000.0,4.9,4.0,1.0,WordPress,https://www.sribu.com/id/users/emreadone/pembuatan-website-wordpress-murah-dan-clean-e8366690-2f82-4bc5-9d09-73c1d0dac810,Rp99.000,4.9,4Demo atau preview hasil,1 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,"Pembuatan Website Custom - Laravel, Vue, React",500000.0,5.0,,1.0,"React, Vue.js, Laravel",https://www.sribu.com/id/users/shafygunawan/pembuatan-website-custom-laravel-vue-react-fe4cdf30-c884-4407-bce3-68634bcee007,Rp500.000,5.0,Ulasan dari Pembeli,Respon Chat8 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Pembuatan Website Landing Page,99000.0,5.0,,1.0,,https://www.sribu.com/id/users/emreadone/pembuatan-website-landing-page-3f4a4baa-32ed-4758-8781-68f7e9d705e6,Rp99.000,5.0,Ulasan dari Pembeli,1 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Landing Page Premium Murah,1000000.0,5.0,,3.0,,https://www.sribu.com/id/users/limamultimed/landing-page-premium-murah-fa6fde20-402c-4c02-a53f-40b15d8ae091,Rp1.000.000,5.0,Ulasan dari Pembeli,5Proses Development 3 hari
sribu,Web dan Pemrograman,Web Development,Website Profesional untuk Semua Kebutuhan Bisnis,950000.0,5.0,,3.0,,https://www.sribu.com/id/users/rendy2504/website-profesional-untuk-semua-kebutuhan-bisnis-6ac6dc24-a439-4609-a3ac-c1dedd4bf6ce,Rp950.000,5.0,Ulasan dari Pembeli,3 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,"Landing page perusahaan, bisnis, UMKM profesional",300000.0,5.0,,7.0,,https://www.sribu.com/id/users/dwiajicahyono/landing-page-perusahaan-bisnis-umkm-profesional-410b2c54-3ebb-4add-8ef4-48104fa62b2b,Rp300.000,5.0,Ulasan dari Pembeli,7 Hari Pengerjaan1 Revisi
sribu,Web dan Pemrograman,Web Development,Web Design & Development,1650000.0,5.0,,14.0,,https://www.sribu.com/id/users/krisanputih/web-design-and-development-7244b7fb-6d3b-4f20-a6ab-d6ffb0a45cbe,Rp1.650.000,5.0,Ulasan dari Pembeli,14 Hari Pengerjaan2 Revisi
sribu,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website, Landing Page & Toko Online",375000.0,5.0,,1.0,,https://www.sribu.com/id/users/virstox92/jasa-pembuatan-website-landing-page-and-toko-online-4430a955-42de-46cf-8a90-0d456e872ea0,Rp375.000,5.0,Ulasan dari Pembeli,Respon Chat1 hariProyek Berjalan2
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Landing Page Responsive Profesional,555000.0,5.0,,3.0,,https://www.sribu.com/id/users/digirook/jasa-pembuatan-landing-page-responsive-profesional-ae90202e-25b3-49c4-ba3b-6edc16fcc519,Rp555.000,5.0,Ulasan dari Pembeli,3 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Elementor Expert  Wordpress  Development,2800000.0,5.0,,7.0,WordPress,https://www.sribu.com/id/users/brainstorm/elementor-expert-wordpress-development-916668f5-680f-4c88-8cff-e7595b38599f,Rp2.800.000,5.0,Ulasan dari Pembeli,7 Hari Pengerjaan3 Revisi
